Date,Time,Open,High,Low,Close,Vol,OI
01/03/2012,16:00,1129.75,1135,1125.25,1127,1565370,2658349
01/04/2012,16:00,1127,1129.75,1117.75,1128,1419339,2560482
01/05/2012,16:00,1128.25,1133,1114.75,1128,1819520,2580006
01/06/2012,16:00,1128.25,1137.25,1121.75,1129.25,1691991,2571183
01/09/2012,16:00,1129.75,1132.75,1122.25,1130.5,1438170,2579341
01/10/2012,16:00,1130,1147,1129.5,1141,1531383,2578611
01/11/2012,16:00,1141,1144.5,1134.25,1143.25,1800297,2597783
01/12/2012,16:00,1143.25,1152.5,1135.75,1146.75,1755528,2593643
01/13/2012,16:00,1147,1150,1127.75,1144,2115831,2613916
01/17/2012,16:00,1140.25,1157.5,1136.25,1144.25,1837834,2608231
01/18/2012,16:00,1144,1159.25,1141.5,1157.25,2008751,2645203
01/19/2012,16:00,1157.75,1166.5,1154.25,1165.5,1837168,2656811
01/20/2012,16:00,1165,1166.75,1159.75,1165.75,1420429,2659069
01/23/2012,16:00,1162.5,1173.25,1160,1166,1609178,2654751
01/24/2012,16:00,1166.25,1166.75,1156.5,1166.5,1478167,2649002
01/25/2012,16:00,1166.25,1179.75,1158,1175.25,1973502,2687268
01/26/2012,16:00,1175.75,1184.75,1164.25,1170.25,2012742,2700924
01/27/2012,16:00,1169.75,1174.25,1162,1167.5,1730821,2630855
01/30/2012,16:00,1169,1169.5,1151,1164,1710571,2641729
01/31/2012,16:00,1164,1172.5,1157.25,1163.25,1894426,2672094
02/01/2012,16:00,1163.25,1182,1158.75,1174.75,1904608,2680101
02/02/2012,16:00,1175.25,1181,1172,1177.75,1357576,2649993
02/03/2012,16:00,1177.75,1197,1175,1194,1710648,2669758
02/06/2012,16:00,1191.5,1195.5,1185.25,1194,1196876,2662818
02/07/2012,16:00,1194,1200.75,1186.75,1199.75,1498861,2660225
02/08/2012,16:00,1199.25,1203.25,1193.25,1202,1540962,2663724
02/09/2012,16:00,1202,1207.75,1195.75,1203.25,1755116,2681372
02/10/2012,16:00,1203,1203.25,1188.75,1195.5,1713982,2694896
02/13/2012,16:00,1202.25,1207.25,1197.75,1204,1235174,2652514
02/14/2012,16:00,1204.25,1207,1192.75,1202.75,1739688,2684468
02/15/2012,16:00,1202.5,1213,1193,1197.25,2282387,2688692
02/16/2012,16:00,1196.75,1212.25,1189.25,1209.75,1962084,2693762
02/17/2012,16:00,1209.75,1216.25,1208,1214.75,1250939,2705934
02/21/2012,16:00,1221.75,1224.5,1210.75,1215,1584418,2723429
02/22/2012,16:00,1214.75,1219,1208,1211,1439240,2709926
02/23/2012,16:00,1211,1218.75,1205.25,1218,1602052,2715233
02/24/2012,16:00,1218,1223.5,1216.5,1218.25,1165825,2723016
02/27/2012,16:00,1218.25,1225.75,1208,1222.25,1662699,2733319
02/28/2012,16:00,1222.25,1228.75,1219.5,1226.5,1540432,2736498
02/29/2012,16:00,1226.25,1232.25,1211.75,1219.5,2280683,2767710
03/01/2012,16:00,1219.5,1230.25,1213.75,1229.5,1966089,2782610
03/02/2012,16:00,1229.5,1232,1220,1223.75,1458860,2785199
03/05/2012,16:00,1222.25,1224.5,1213,1219.5,1535936,2757168
03/06/2012,16:00,1219,1220.75,1193.5,1197,2450910,2737111
03/07/2012,16:00,1196.5,1209.25,1196.25,1207.75,1893777,2624143
03/08/2012,16:00,1207.75,1223.25,1205.5,1221.25,917534,846470
03/09/2012,16:00,1221,1229.5,1218.25,1227.5,1904083,1284377
03/12/2012,16:00,1227.5,1227.75,1221,1227.5,1879168,1797488
03/13/2012,16:00,1227.5,1252,1226.75,1251.5,2743994,2371441
03/14/2012,16:00,1251.25,1255,1245,1249.5,2095321,2563097
03/15/2012,16:00,1249,1258.25,1245.5,1256.75,1953864,2672834
03/16/2012,16:00,1256.5,1261.25,1254.75,1259.25,1384158,2681911
03/19/2012,16:00,1258,1268.75,1254.25,1264.75,1525304,2680501
03/20/2012,16:00,1264.75,1265.75,1252.5,1260.75,1583682,2692793
03/21/2012,16:00,1260.75,1266.5,1255,1258.25,1533579,2696753
03/22/2012,16:00,1258.5,1261.5,1243.25,1249.75,1682418,2700517
03/23/2012,16:00,1249.75,1256,1241.25,1254.75,1559341,2697307
03/26/2012,16:00,1254.5,1276.25,1253.25,1275.75,1456063,2702345
03/27/2012,16:00,1275.75,1280.5,1266.75,1267.25,1251826,2722273
03/28/2012,16:00,1267,1273,1252.75,1261,1759121,2726812
03/29/2012,16:00,1260.25,1264.75,1247,1259,1827754,2730099
03/30/2012,16:00,1258.75,1267,1256.5,1264,1619524,2709590
04/02/2012,16:00,1268,1278.5,1259.75,1273.25,1718652,2738339
04/03/2012,16:00,1272.75,1275,1260.25,1269.5,1673086,2736147
04/04/2012,16:00,1269.75,1269.75,1249.25,1254,1834777,2706184
04/05/2012,16:00,1254,1258.5,1244.75,1251,1539342,2727847
04/06/2012,16:00,1251.25,1255.5,1232.75,1235.75,198499,2740195
04/09/2012,16:00,1235.75,1243.5,1232.5,1235.75,1083274,2746096
04/10/2012,16:00,1235,1241.5,1213.25,1217.75,2522310,2756491
04/11/2012,16:00,1218.5,1231.25,1218.25,1224.75,1739768,2735723
04/12/2012,16:00,1225,1247,1224,1246.75,1852924,2762959
04/13/2012,16:00,1246.5,1249.25,1224.5,1225.75,1936470,2760858
04/16/2012,16:00,1226.75,1236,1221.25,1224.75,1959799,2769578
04/17/2012,16:00,1225,1249.5,1220,1244.25,1848818,2781649
04/18/2012,16:00,1244.5,1247.5,1238.5,1239,1848236,2787008
04/19/2012,16:00,1239.5,1250.75,1226.25,1233.25,2631716,2792920
04/20/2012,16:00,1234.5,1244,1232,1236,1808442,2779316
04/23/2012,16:00,1233,1235.5,1214.75,1223.5,1848613,2808295
04/24/2012,16:00,1223.75,1232,1221.75,1230.75,1440903,2791554
04/25/2012,16:00,1231.5,1248.5,1230.25,1248,1827484,2816352
04/26/2012,16:00,1248,1259,1241.75,1257.5,1666603,2852617
04/27/2012,16:00,1257.5,1263.75,1247.25,1259.25,1616584,2844782
04/30/2012,16:00,1261,1263.25,1250.5,1254.25,1322300,2820525
05/01/2012,16:00,1254.25,1272.5,1252,1261.25,1305665,2825580
05/02/2012,16:00,1261.25,1265.5,1250,1258.25,1682321,2818494
05/03/2012,16:00,1258.25,1263.5,1245.25,1246.75,1761579,2800522
05/04/2012,16:00,1247.25,1249.75,1222.25,1223.25,2076198,2833205
05/07/2012,16:00,1214.75,1231,1203.25,1226.5,1610579,2826296
05/08/2012,16:00,1226,1228.75,1204.5,1219.25,2307638,2832476
05/09/2012,16:00,1219.75,1221.5,1200,1211.75,2523438,2856301
05/10/2012,16:00,1212,1224.5,1206.5,1218.25,1839321,2842146
05/11/2012,16:00,1218.25,1224,1204.75,1210.75,1840516,2859612
05/14/2012,16:00,1206.75,1211.75,1194,1194.75,1912994,2870892
05/15/2012,16:00,1195.25,1207.75,1186.25,1189,2402932,2929667
05/16/2012,16:00,1189.5,1200.5,1181.5,1183.25,2282620,2941326
05/17/2012,16:00,1183.75,1191.5,1161.25,1162,2906203,2927847
05/18/2012,16:00,1162.75,1171.25,1150.5,1151.5,2816411,2957278
05/21/2012,16:00,1152.5,1176.75,1148,1176.5,2051007,2928492
05/22/2012,16:00,1176,1187.25,1168.25,1175.5,2449269,2942926
05/23/2012,16:00,1176.25,1179.75,1154.75,1176.5,2555222,2971911
05/24/2012,16:00,1176.5,1184.25,1166.75,1183.25,2171218,2962701
05/25/2012,16:00,1183.25,1190.5,1172.75,1175.75,1521622,2951359
05/29/2012,16:00,1182.75,1195,1178.25,1194.25,2236090,2959600
05/30/2012,16:00,1194.25,1195,1168.75,1169.25,2313731,2979748
05/31/2012,16:00,1169.75,1179.75,1158,1170,2746687,2961742
06/01/2012,16:00,1167,1168.25,1134.25,1134.75,3278646,3008101
06/04/2012,16:00,1135.75,1142.25,1122.75,1133.75,2338973,2960597
06/05/2012,16:00,1134,1147.5,1128.25,1145.75,2035780,2921466
06/06/2012,16:00,1146,1176.5,1143.75,1176.25,2836135,2773548
06/07/2012,16:00,1176,1190.25,1172.5,1177.25,989978,787312
06/08/2012,16:00,1176.75,1190.25,1166,1189.25,1943155,1254021
06/11/2012,16:00,1204.25,1209.25,1167,1167.5,3116823,1801710
06/12/2012,16:00,1168.25,1187.75,1164.25,1187.25,2900941,2233378
06/13/2012,16:00,1187,1188.5,1170.75,1176,2566739,2419155
06/14/2012,16:00,1176.25,1195,1172.5,1193.5,2808502,2555080
06/15/2012,16:00,1192.5,1205.75,1191.75,1204.75,1817397,2557420
06/18/2012,16:00,1212.5,1214.75,1194.5,1208.25,2074890,2571236
06/19/2012,16:00,1208,1224.25,1203.75,1217.75,1772340,2577825
06/20/2012,16:00,1217.25,1222.75,1206,1218,2364882,2619510
06/21/2012,16:00,1218,1220.5,1184.75,1185.5,2713717,2649917
06/22/2012,16:00,1185.75,1199,1185.5,1194,1859289,2652686
06/25/2012,16:00,1192.75,1193.75,1169.75,1173.75,1843892,2713459
